Test Group,Module ID,Module Name,Status,Execution Details
UserMgmt,UM_35,User session timeout,PASSED,"Successfully Verified (2 parameters):
Idle wait completed, Session expired to login form"
UserMgmt,UM_36,Installer session timeout,PASSED,"Successfully Verified (2 parameters):
Idle wait completed, Session expired to login form"
UserMgmt,UM_37,Admin attempts simultaneous login,PASSED,"Successfully Verified (3 parameters):
First session logged in, Second concurrent session logged in, Logins tracked in System Logs → Users"
UserMgmt,UM_38,User attempts simultaneous login,PASSED,"Successfully Verified (3 parameters):
First session logged in, Second concurrent session logged in, Logins tracked in System Logs → Users"
UserMgmt,UM_39,Installer attempts simultaneous login,PASSED,"Successfully Verified (3 parameters):
First session logged in, Second concurrent session logged in, Logins tracked in System Logs → Users"
UserMgmt,UM_40,Admin disconnects wireless link,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
UserMgmt,UM_41,User attempts disconnect wireless link,PASSED,"Successfully Verified (1 parameters):
Sensitive control absent or disabled for role"
UserMgmt,UM_42,Installer attempts disconnect wireless link,PASSED,"Successfully Verified (1 parameters):
Sensitive control absent or disabled for role"
UserMgmt,UM_43,Admin changes encryption type,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
UserMgmt,UM_44,User attempts encryption change,PASSED,"Successfully Verified (1 parameters):
Sensitive control absent or disabled for role"
UserMgmt,UM_45,Installer attempts encryption change,PASSED,"Successfully Verified (1 parameters):
Sensitive control absent or disabled for role"
UserMgmt,UM_46,Admin modifies VLAN ID,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
UserMgmt,UM_47,User attempts VLAN modification,PASSED,"Successfully Verified (1 parameters):
Sensitive control absent or disabled for role"
UserMgmt,UM_48,Installer modifies VLAN ID,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
UserMgmt,UM_49,Admin views site survey,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
UserMgmt,UM_50,Installer views site survey,PASSED,"Successfully Verified (1 parameters):
Role can open and use the target feature"
